Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
"Georgia Southern University Research and Service Foundation, Inc",2009,3176214,5,3.8,
"Georgia Southern University Research and Service Foundation, Inc",2008,248102,3,3,
"Georgia Southern University Research and Service Foundation, Inc",2007,1443298,6,3.333333333,
"Georgia Southern University Research and Service Foundation, Inc",2006,835549,4,2.75,
"Georgia Southern University Research and Service Foundation, Inc",2004,597343,4,4.5,
"Georgia Southern University Research and Service Foundation, Inc",2003,179413,2,3,
"Georgia Southern University Research and Service Foundation, Inc",2002,808390,4,3.75,
"Georgia Southern University Research and Service Foundation, Inc",2001,743510,3,3.333333333,
Georgia State University,2001,434399,2,2,
"Georgia State University Research Foundation, Inc.",2012,2748802,9,2.777777778,
"Georgia State University Research Foundation, Inc.",2011,5229098,21,2.80952381,
"Georgia State University Research Foundation, Inc.",2010,4273880,21,2.666666667,
"Georgia State University Research Foundation, Inc.",2009,8269376,22,3.454545455,
"Georgia State University Research Foundation, Inc.",2008,4453586,15,3.2,
"Georgia State University Research Foundation, Inc.",2007,2700435,13,3,
"Georgia State University Research Foundation, Inc.",2006,5026448,14,4.285714286,
"Georgia State University Research Foundation, Inc.",2005,5095530,16,3.5625,
"Georgia State University Research Foundation, Inc.",2004,1899716,5,4,
"Georgia State University Research Foundation, Inc.",2003,28416894,11,3.909090909,
"Georgia State University Research Foundation, Inc.",2002,2920842,14,3.5,
"Georgia State University Research Foundation, Inc.",2001,2978754,6,3,
Georgia Tech Applied Research Corporation,2007,1522000,3,2,
Georgia Tech Applied Research Corporation,2002,154233,2,1.5,
Georgia Tech Research Corporation,2012,37884010,147,2.843537415,
Georgia Tech Research Corporation,2011,32395959,134,2.746268657,
Georgia Tech Research Corporation,2010,60325723,160,2.9,
Georgia Tech Research Corporation,2009,85074724,193,3.300518135,
Georgia Tech Research Corporation,2008,46586239,143,3.391608392,
Georgia Tech Research Corporation,2007,42128976,138,3.362318841,
Georgia Tech Research Corporation,2006,37296657,117,3.726495726,
Georgia Tech Research Corporation,2005,32824638,110,3.236363636,
Georgia Tech Research Corporation,2004,48396905,109,3.825688073,
Georgia Tech Research Corporation,2003,40044934,127,3.464566929,
Georgia Tech Research Corporation,2002,46748758,128,3.6796875,
Georgia Tech Research Corporation,2001,35808154,91,3.604395604,
Gettysburg College,2010,249968,2,2.5,
Gettysburg College,2009,426684,3,3.333333333,
Gettysburg College,2006,175385,2,3.5,
Gettysburg College,2004,387389,2,2.5,
Gettysburg College,2002,79324,3,2.666666667,
Gettysburg College,2001,1060572,3,4,
"GINER ELECTROCHEMICAL SYSTEMS, LLC",2003,599918,2,0.5,
"GINER ELECTROCHEMICAL SYSTEMS, LLC",2002,299953,3,0,
"GINER, INC.",2006,199883,2,0.5,
Glendale Community College,2001,416932,2,2,
Gonzaga University,2011,731952,2,3.5,
Gonzaga University,2010,1347864,2,2,
Gonzaga University,2009,281155,2,3,
Gonzaga University,2001,273453,2,4,
Gordon Research Conferences,2012,851814,54,0.722222222,
Gordon Research Conferences,2011,500740,36,0.833333333,
Gordon Research Conferences,2010,687864,56,0.785714286,
Gordon Research Conferences,2009,493060,33,0.96969697,
Gordon Research Conferences,2008,635500,39,0.974358974,
Gordon Research Conferences,2007,467140,36,0.861111111,
Gordon Research Conferences,2006,334984,33,0.96969697,
Gordon Research Conferences,2005,561654,43,0.930232558,
Gordon Research Conferences,2004,561090,32,0.875,
Gordon Research Conferences,2003,394435,27,0.851851852,
Gordon Research Conferences,2002,473890,38,0.894736842,
Gordon Research Conferences,2001,411072,28,0.964285714,
Governors State University,2006,389526,2,3.5,
Grambling State University,2005,2484794,2,4.5,
Grand Valley State University,2012,735903,6,2.833333333,
Grand Valley State University,2011,1064359,4,3.5,
Grand Valley State University,2010,1095083,6,2,
Grand Valley State University,2009,950315,4,3.25,
Grand Valley State University,2008,543371,2,3.5,
Grand Valley State University,2007,442513,3,2.666666667,
Grand Valley State University,2006,1927020,3,4.333333333,
Grand Valley State University,2005,352237,3,3,
Grand Valley State University,2002,119518,2,2,
Grand Valley State University,2001,414396,2,3,
"Grandis, Inc",2007,1094493,2,2,
"Griffin Analytical Technologies, Inc.",2003,198918,2,0.5,
Grinnell College,2011,590455,4,2.75,
Grinnell College,2008,277149,3,3.333333333,
Grinnell College,2007,332701,2,4,
Grinnell College,2005,603475,4,4,
Grinnell College,2003,315887,2,2.5,
Grinnell College,2002,288903,3,2.666666667,
"GSA, OFFICE OF ACQUISITION SYSTEMS",2010,140377,2,3,
"GSA, OFFICE OF ACQUISITION SYSTEMS",2009,108839,2,1,
GUARDIANS OF HONOR,2007,362470,2,0.5,
GUARDIANS OF HONOR,2006,3135755,3,2.666666667,
GUILD ASSOCIATES INC,2010,299875,2,0.5,
Gulf of Maine Research Institute,2010,176383,2,1.5,
Gustavus Adolphus College,2012,327874,3,3,
Gustavus Adolphus College,2010,717195,3,3,
Gustavus Adolphus College,2009,466763,2,3.5,
Gustavus Adolphus College,2005,259732,2,4.5,
Gustavus Adolphus College,2003,928553,6,3,
Gustavus Adolphus College,2002,540756,4,2.5,
Gustavus Adolphus College,2001,50161,2,2.5,
"GWC Technologies, Inc.",2003,199524,2,1,
"H-Cubed, Inc.",2006,199817,2,1,
H.T. Harvey & Associates,2006,318172,2,3,
H.T. Harvey & Associates,2005,1095513,2,5,
Hamilton College,2012,386843,3,3.666666667,
Hamilton College,2011,280342,2,3,
Hamilton College,2010,623290,3,3,
Hamilton College,2008,1006001,5,2.6,
Hamilton College,2007,1126523,3,5,
Hamilton College,2006,286143,2,2.5,
Hamilton College,2005,491703,3,3.666666667,
Hamilton College,2004,1310791,6,3.5,
Hamilton College,2003,139899,3,2.333333333,
Hamilton College,2002,649235,3,4,
Hamilton College,2001,880619,3,2,
Hampshire College,2010,864838,2,4,
Hampshire College,2009,688715,4,2.75,
Hampshire College,2008,204103,2,1,
Hampshire College,2007,950779,2,3,
Hampshire College,2004,182582,2,2,
Hampshire College,2003,458287,2,4.5,
Hampshire College,2002,723895,3,3.333333333,
Hampton University,2012,2070405,3,3.666666667,
Hampton University,2011,1876699,7,1.857142857,
Hampton University,2010,2259234,4,3,
Hampton University,2009,3358732,8,3.375,
Hampton University,2008,458829,3,3,
Hampton University,2007,2578735,6,3.666666667,
Hampton University,2006,7187566,6,3.666666667,
Hampton University,2005,1197716,4,3.5,
Hampton University,2004,4699479,5,3,
Hampton University,2003,3675571,5,4.6,
Hampton University,2001,1473008,3,3.333333333,
Hans Tech,2010,250000,2,0,
"Harbor Branch Oceanographic Institution, Inc.",2005,625771,2,1.5,
"Harbor Branch Oceanographic Institution, Inc.",2004,342889,2,2.5,
"Harbor Branch Oceanographic Institution, Inc.",2002,8381578,4,2.5,
"Harbor Branch Oceanographic Institution, Inc.",2001,773601,4,3,
Harmonic Devices Inc.,2007,250000,2,1,
Harris Stowe State College,2007,208899,2,3,
Harrisburg University of Science and Technology,2012,1803879,2,3.5,
Hartwick College,2010,614159,3,3.333333333,
Harvard University,2012,27321756,75,3.013333333,
Harvard University,2011,22071207,68,3.117647059,
Harvard University,2010,34257221,88,3.125,
Harvard University,2009,54130223,100,3.21,
Harvard University,2008,43623375,80,3.3,
Harvard University,2007,28619054,72,3.472222222,
Harvard University,2006,38207441,66,3.393939394,
Harvard University,2005,28257838,66,3.636363636,
Harvard University,2004,27006804,69,3.579710145,
Harvard University,2003,46518056,94,3.436170213,
Harvard University,2002,33125698,65,3.615384615,
Harvard University,2001,38480230,58,3.379310345,
Harvey Mudd College,2012,601589,3,1.666666667,
Harvey Mudd College,2011,473708,2,2.5,
Harvey Mudd College,2010,722742,5,3,
Harvey Mudd College,2009,3599919,12,3.583333333,
Harvey Mudd College,2008,987804,5,3.6,
Harvey Mudd College,2007,1593346,5,4.4,
Harvey Mudd College,2006,2165818,8,4.125,
Harvey Mudd College,2005,539849,3,4,
Harvey Mudd College,2004,2002247,11,2.818181818,
Harvey Mudd College,2003,1058827,5,3.2,
Harvey Mudd College,2002,674679,3,2,
Harvey Mudd College,2001,893653,5,3.2,
"Haskins Laboratories, Inc.",2009,617613,2,2.5,
"Haskins Laboratories, Inc.",2007,785006,3,2.666666667,
Haverford College,2012,1276612,4,3.75,
Haverford College,2010,680276,3,3,
Haverford College,2009,2168736,7,3.428571429,
Haverford College,2008,1974719,5,4.4,
Haverford College,2006,975648,3,4.333333333,
Haverford College,2005,839263,3,3.666666667,
Haverford College,2004,1030422,3,4,
Haverford College,2003,234554,2,5,
Haverford College,2002,1010155,5,3.4,
Health Research Incorporated/New York State Department of Health,2012,771969,2,2.5,
Health Research Incorporated/New York State Department of Health,2011,605183,2,3,
Health Research Incorporated/New York State Department of Health,2010,1734295,4,3,
Health Research Incorporated/New York State Department of Health,2007,2553090,3,5.333333333,
Health Research Incorporated/New York State Department of Health,2006,1621416,4,4.5,
Health Research Incorporated/New York State Department of Health,2005,1497483,4,3.75,
Health Research Incorporated/New York State Department of Health,2004,797774,3,3.666666667,
Health Research Incorporated/New York State Department of Health,2003,789383,2,5.5,
Health Research Incorporated/New York State Department of Health,2002,1275983,3,4.333333333,
Health Research Incorporated/New York State Department of Health,2001,2056844,5,3.8,
Helio Research,2010,339315,2,2.5,
Helio Research,2008,618240,2,3.5,
Hendrix College,2012,1161063,2,4,
Hendrix College,2009,641789,2,3.5,
Hendrix College,2002,616363,4,4.25,
Henry M Jackson Fdn for Advmt of Military Medicine,2011,722627,2,3,
Henry M Jackson Fdn for Advmt of Military Medicine,2007,450834,2,4,
Henry M Jackson Fdn for Advmt of Military Medicine,2003,1329144,4,4.25,
Henry M Jackson Fdn for Advmt of Military Medicine,2001,930818,2,4,
Heritage University,2005,579297,2,2.5,
Higher Education Policy Commission,2010,9176470,2,3.5,
Higher Education Policy Commission,2006,10899375,2,3,
Hispanic Association of Colleges and Universities,2002,680904,2,3,
History of Science Society,2001,289500,2,3,
Hobart and William Smith Colleges,2010,1540532,3,3,
Hobart and William Smith Colleges,2008,2121430,4,3.75,
Hobart and William Smith Colleges,2007,1101220,4,3.5,
Hobart and William Smith Colleges,2006,959085,2,3.5,
Hobart and William Smith Colleges,2004,452152,2,2,
Hobart and William Smith Colleges,2003,105103,2,1.5,
Hobart and William Smith Colleges,2001,185166,2,3,
Hofstra University,2011,915426,3,2.666666667,
Hofstra University,2010,2899188,5,2.8,
Hofstra University,2009,2585139,3,3.666666667,
Hofstra University,2008,2827220,2,4.5,
Hofstra University,2007,1392801,3,4.333333333,
Hofstra University,2005,741500,2,4,
Hofstra University,2004,533415,2,2.5,
Hofstra University,2003,12963471,4,4.25,
Hofstra University,2002,300875,3,2.333333333,
Hofstra University,2001,117790,2,1.5,
Hope College,2012,1125871,4,3.75,
Hope College,2011,924521,5,3,
Hope College,2010,2430812,7,3.428571429,
Hope College,2009,2354568,4,3.25,
Hope College,2008,854459,4,3.25,
Hope College,2007,1117690,4,4.25,
Hope College,2006,352027,2,4,
Hope College,2005,1008903,4,3.75,
Hope College,2004,611292,2,5,
Hope College,2003,2143865,7,3.714285714,
Hope College,2002,256475,3,3,
Hope College,2001,519550,4,3.5,
Horizon Research Inc,2010,2028693,2,2.5,
Horizon Research Inc,2003,3494000,2,5.5,
HOTECH INC,2002,200000,2,0,
Houston Community College,2004,684999,2,5.5,
Howard University,2012,7616547,17,2.764705882,
Howard University,2011,1640683,5,1.8,
Howard University,2010,5143460,10,3.2,
Howard University,2009,1927071,10,2.8,
Howard University,2008,7771311,10,3.1,
Howard University,2007,2052321,7,3,
Howard University,2006,7688412,11,4.090909091,
Howard University,2005,2801795,7,3.857142857,
Howard University,2004,12965522,8,4.375,
Howard University,2003,11076228,11,4.454545455,
Howard University,2002,2462957,7,4.571428571,
Howard University,2001,2142176,8,2.5,
Humboldt State University Foundation,2011,1152036,4,2.75,
Humboldt State University Foundation,2010,898223,2,2.5,
Humboldt State University Foundation,2009,2261763,5,3.8,
Humboldt State University Foundation,2008,1530465,4,4,
Humboldt State University Foundation,2007,322218,3,2.666666667,
Humboldt State University Foundation,2006,1417512,3,4.333333333,
Humboldt State University Foundation,2005,602998,2,3,
Humboldt State University Foundation,2003,40647,2,0.5,
Humboldt State University Foundation,2002,155982,2,2.5,
Humboldt State University Foundation,2001,378138,3,2.666666667,
IBM Thomas J Watson Research Center,2011,99322,2,3.5,
IBM Thomas J Watson Research Center,2007,132950,2,3.5,
ICORIA INC,2002,199962,2,0.5,
Idaho State University,2012,1509843,10,2,
Idaho State University,2011,2399128,8,2.875,
Idaho State University,2010,2366399,6,3,
Idaho State University,2009,2315815,4,3,
Idaho State University,2008,2421507,6,3.833333333,
Idaho State University,2007,4806777,10,2.8,
Idaho State University,2006,294507,2,3,
Idaho State University,2005,2821730,9,3.666666667,
Idaho State University,2004,3619992,8,3.75,
Idaho State University,2003,2199025,5,4.2,
Idaho State University,2002,1616252,6,3.333333333,
Idaho State University,2001,855822,6,2.666666667,
Ilisagvik College,2001,623651,2,2,
Illinois Institute of Technology,2012,4484935,18,2.888888889,
Illinois Institute of Technology,2011,4711961,18,2.722222222,
Illinois Institute of Technology,2010,5202963,21,2.666666667,
Illinois Institute of Technology,2009,4381216,15,3.266666667,
Illinois Institute of Technology,2008,4458789,19,3.421052632,
Illinois Institute of Technology,2007,3621905,13,3.153846154,
Illinois Institute of Technology,2006,2875309,11,3.636363636,
Illinois Institute of Technology,2005,3366421,14,2.928571429,
Illinois Institute of Technology,2004,1674685,9,3.444444444,
Illinois Institute of Technology,2003,4082116,14,2.928571429,
Illinois Institute of Technology,2002,1756592,10,3.6,
Illinois Institute of Technology,2001,3920821,15,3.133333333,
Illinois State Museum Society,2006,661595,2,4,
Illinois State University,2012,1424778,4,3,
Illinois State University,2011,2047393,4,2.25,
Illinois State University,2010,1717316,5,3.2,
Illinois State University,2009,1535965,7,3.285714286,
Illinois State University,2008,2204272,6,3.833333333,
Illinois State University,2007,3500021,8,3.25,
Illinois State University,2006,453901,2,3.5,
Illinois State University,2005,2157702,6,4.5,
Illinois State University,2004,4549894,8,5,
Illinois State University,2003,1134790,4,3.25,
Illinois State University,2002,3348668,9,4.333333333,
Illinois State University,2001,2582587,3,3.666666667,
Illinois Wesleyan University,2012,653357,3,3,
Illinois Wesleyan University,2007,479208,2,3.5,
Illinois Wesleyan University,2001,377442,2,3.5,
ILLUMINEX CORP,2005,300000,3,0,
"ImageCat, Inc.",2008,328314,2,1.5,
Imaginary Lines Inc.,2005,397607,2,1,
IMAGINESTICS LLC,2005,1062153,2,1.5,
IMAGING SYSTEMS TECHNOLOGY INC,2008,1161825,2,2,
Incorporated Research Institutions for Seismology,2012,891552,2,3,
Incorporated Research Institutions for Seismology,2011,13308001,2,1.5,
Incorporated Research Institutions for Seismology,2010,1192000,2,3,
Incorporated Research Institutions for Seismology,2009,2426849,3,3.333333333,
Incorporated Research Institutions for Seismology,2006,68702776,2,5,
Incorporated Research Institutions for Seismology,2005,451326,2,3,
Incorporated Research Institutions for Seismology,2003,88099115,5,4.6,
Indian River Community College,2011,846241,2,3,
Indian River Community College,2010,434214,2,3,
Indiana State University,2012,463020,3,3,
Indiana State University,2011,462238,2,3,
Indiana State University,2010,2323045,4,3.25,
Indiana State University,2009,762349,3,3.333333333,
Indiana State University,2007,791237,4,2.75,
Indiana State University,2005,935303,3,4.333333333,
Indiana State University,2003,253800,2,3.5,
Indiana State University,2002,978808,6,4.166666667,
Indiana University,2012,20868624,85,2.329411765,
Indiana University,2011,22752786,71,2.661971831,
Indiana University,2010,37011591,80,2.8125,
Indiana University,2009,50288437,83,3.144578313,
Indiana University,2008,24661282,57,3.175438596,
Indiana University,2007,22134275,71,3.126760563,
Indiana University,2006,16660887,64,3.328125,
Indiana University,2005,35583689,64,3.78125,
Indiana University,2004,24361383,53,3.566037736,
Indiana University,2003,37030299,60,3.683333333,
Indiana University,2002,22134304,55,3.472727273,
Indiana University,2001,30406855,60,3.183333333,
Indiana University of Pennsylvania,2012,248282,2,4,
Indiana University of Pennsylvania,2010,1537521,2,3.5,
Indiana University of Pennsylvania,2002,296459,2,1.5,
Indiana University of Pennsylvania,2001,457818,4,3,
Indiana University of Pennsylvania Research Institute,2012,815798,2,3,
Indiana University of Pennsylvania Research Institute,2008,535607,3,2.666666667,
"Inmatech, Inc.",2012,595724,2,1,
Innegrity LLC,2007,300000,2,1,
InnoSense LLC,2008,739999,2,1.5,
Innovative Micro Technology,2009,583310,2,1.5,
Innovative Micro Technology,2008,1127875,2,2.5,
"Innovative Scheduling Systems, Inc.",2006,1048000,2,2,
"Innovative Scheduling Systems, Inc.",2004,1537000,2,3,
"INNOVATIVE TECHNOLOGY, INC.",2007,1102019,3,2,
"InPore Technologies, Inc.",2012,360000,2,1,
Inpria Corporation,2010,1250000,2,2,
"Inscent, Inc",2010,685014,2,1.5,
Institute For Advanced Study,2012,2738847,3,4,
Institute For Advanced Study,2011,358141,4,2.75,
Institute For Advanced Study,2010,4994248,6,3,
Institute For Advanced Study,2009,2339461,6,3.833333333,
Institute For Advanced Study,2008,2345791,3,4.333333333,
Institute For Advanced Study,2007,13194443,4,2.25,
Institute For Advanced Study,2006,1664863,3,4,
Institute For Advanced Study,2005,2209899,6,3,
Institute For Advanced Study,2004,4087443,5,3.8,
Institute For Advanced Study,2003,9073054,5,4,
Institute For Advanced Study,2001,59701,2,1,
Institute for Broadening Participation,2010,434379,2,3,
Institute for Broadening Participation,2008,1411868,2,4,
Institute For Defense Analyses,2012,2300000,7,1,
Institute For Defense Analyses,2011,3255000,9,1.111111111,
Institute For Defense Analyses,2010,1779081,4,1.5,
Institute For Defense Analyses,2009,882617,6,1.5,
Institute For Defense Analyses,2008,15798034,15,2.133333333,
Institute For Defense Analyses,2007,2344259,11,1.636363636,
Institute For Defense Analyses,2006,4072158,15,1.8,
Institute For Defense Analyses,2005,1930046,4,1.75,
Institute For Defense Analyses,2003,13966018,2,7.5,
Institute for Genomic Research,2004,2792742,3,2.666666667,
Institute for Genomic Research,2003,7422203,9,3,
Institute for Genomic Research,2002,6591673,5,3.8,
Institute for Genomic Research,2001,2247782,5,2,
Institute for Systems Biology,2012,332731,2,2.5,
Institute for Systems Biology,2009,2390645,2,3.5,
Institute for Systems Biology,2007,2273094,2,4.5,
Institute for Systems Biology,2005,2328905,3,3.666666667,
Institute for Systems Biology,2002,1838708,3,3.666666667,
Institute for Systems Biology,2001,1357467,2,2,
Institute for the Study of Learning and Expertise,2003,2749271,2,4,
Institute of Ecosystem Studies,2012,3176136,3,4,
Institute of Ecosystem Studies,2011,4528039,9,3.555555556,
Institute of Ecosystem Studies,2010,1682540,4,3.5,
Institute of Ecosystem Studies,2009,1423850,7,2.714285714,
Institute of Ecosystem Studies,2008,2170161,6,4.166666667,
Institute of Ecosystem Studies,2007,1167235,4,3.25,
Institute of Ecosystem Studies,2006,521035,4,4.75,
Institute of Ecosystem Studies,2005,8828370,10,4.8,
Institute of Ecosystem Studies,2004,2215787,7,3.857142857,
Institute of Ecosystem Studies,2003,1098162,5,3.6,
Institute of Ecosystem Studies,2002,854338,3,3.666666667,
"Institute of Electrical & Electronics Engineers, Inc.",2010,48622,3,1.666666667,
"Institute of Electrical & Electronics Engineers, Inc.",2009,55000,2,1,
"Institute of Electrical & Electronics Engineers, Inc.",2008,30000,2,1,
"Institute of Electrical & Electronics Engineers, Inc.",2007,30000,4,1,
"Institute of Electrical & Electronics Engineers, Inc.",2006,23000,2,1,
"Institute of Electrical & Electronics Engineers, Inc.",2005,106948,2,2.5,
"Institute of Electrical & Electronics Engineers, Inc.",2004,20300,3,1,
"Institute of Electrical & Electronics Engineers, Inc.",2003,32000,3,1,
"Institute of Electrical & Electronics Engineers, Inc.",2002,162756,5,1.6,
"Institute of Electrical & Electronics Engineers, Inc.",2001,180720,6,1.166666667,
Institute of Global Environment and Society,2009,8668354,4,3.75,
Institute of Global Environment and Society,2004,7408677,2,5,
"Integral Wave Technologies, Inc.",2001,197270,2,0,
"INTEGRATED PHOTONICS, INC.",2003,599965,2,1,
Integrated Sensing Systems Incorporated,2007,600000,2,1,
"Intelligent Automation, Inc",2003,199999,2,0,
"Intelligent Automation, Inc",2001,199998,2,0.5,
Inter American University of Puerto Rico San Juan,2008,372629,2,4,
Inter-American Institute for Global Change Research,2012,5607237,3,3.333333333,
Inter-American Institute for Global Change Research,2006,3175000,2,4,
Inter-American Institute for Global Change Research,2005,10973946,2,4,
Inter-American Institute for Global Change Research,2003,1190000,2,2,
Inter-American Institute for Global Change Research,2002,910000,2,1.5,
International Computer Science Institute,2012,4226491,14,2.214285714,
International Computer Science Institute,2011,1974915,6,2,
International Computer Science Institute,2010,6369023,9,2.555555556,
International Computer Science Institute,2009,2841423,9,3,
International Computer Science Institute,2008,2673321,4,2.5,
International Computer Science Institute,2007,4474499,12,3.333333333,
International Computer Science Institute,2006,1045313,5,3,
International Computer Science Institute,2005,884602,2,3.5,
International Computer Science Institute,2004,3789779,2,5.5,
International Computer Science Institute,2003,3593250,4,4.75,
International Computer Science Institute,2002,5211738,4,5,
International Computer Science Institute,2001,1879983,2,3.5,
International Cooperative Administrative Support Services,2012,327649,5,0.2,
International Cooperative Administrative Support Services,2011,12300,2,0,
International Cooperative Administrative Support Services,2010,929426,4,0.75,
International Cooperative Administrative Support Services,2009,470688,3,0.333333333,
International Cooperative Administrative Support Services,2008,589200,3,0.333333333,
International Cooperative Administrative Support Services,2007,447669,2,0.5,
International Cooperative Administrative Support Services,2005,222265,2,0.5,
International Cooperative Administrative Support Services,2002,159969,2,0.5,
International Technology and Engineering Educators Association,2001,1888316,2,4.5,
INTERNET2,2012,459789,2,2,
INTERNET2,2010,6643465,4,3,
INTERNET2,2007,1129900,2,2.5,
INTERNET2,2003,2690579,2,5.5,
"InterPhases Solar, Inc.",2003,1226000,2,2.5,
"InterPhases Solar, Inc.",2002,200000,2,0,
"Inventis, Inc.",2004,200000,2,0,
Iona College,2002,189778,2,2.5,
Iowa State University,2012,16738011,65,2.8,16.738011
Iowa State University,2011,28476330,61,2.868852459,28.47633
Iowa State University,2010,29119540,72,3.180555556,29.11954
Iowa State University,2009,35865216,79,3.316455696,35.865216
Iowa State University,2008,39312329,59,3.593220339,39.312329
Iowa State University,2007,14145281,44,3.590909091,14.145281
Iowa State University,2006,22620733,53,4.075471698,22.620733
Iowa State University,2005,28102495,57,3.719298246,28.102495
Iowa State University,2004,18479330,57,3.50877193,18.47933
Iowa State University,2003,23402109,74,3.513513514,23.402109
Iowa State University,2002,20687478,65,3.630769231,20.687478
Iowa State University,2001,22841170,66,3.075757576,22.84117
"ISCA TECHNOLOGIES, INC.",2007,1087336,2,2,
Island Institute,2012,698649,2,2,
Itasca Community College,2011,949296,3,3,
Ithaca College,2011,1257052,2,3.5,
Ithaca College,2010,164151,3,2.333333333,
Ithaca College,2009,383877,4,3.25,
Ithaca College,2007,675431,5,2.4,
Ithaca College,2006,596686,2,3,
Ithaca College,2005,283033,2,3,
Ithaca College,2003,476858,3,3.666666667,
Ithaca College,2002,4261837,4,5.5,
Ithaca College,2001,404447,3,4.333333333,
"ITN ENERGY SYSTEMS, INC.",2005,722091,3,0.666666667,
"ITN ENERGY SYSTEMS, INC.",2004,688818,3,0.666666667,
"ITN ENERGY SYSTEMS, INC.",2003,199923,2,0.5,
"ITN ENERGY SYSTEMS, INC.",2001,585534,2,1,
Ivy Tech Community College of Indiana,2007,816146,2,4,
J F Drake State Technical College,2012,1171545,2,4,
"J. Craig Venter Institute, Inc.",2012,2200961,3,2.666666667,
"J. Craig Venter Institute, Inc.",2011,2155505,4,2.5,
"J. Craig Venter Institute, Inc.",2010,1618737,2,2.5,
"J. Craig Venter Institute, Inc.",2009,3069659,4,2.5,
"J. Craig Venter Institute, Inc.",2008,3718858,2,3.5,
"J. Craig Venter Institute, Inc.",2007,1973480,4,3,
"J. Craig Venter Institute, Inc.",2005,6741058,5,3.4,
"J. Craig Venter Institute, Inc.",2004,6454889,3,4.333333333,
Jackson State University,2012,2237112,5,2.6,
Jackson State University,2011,4162801,9,2.444444444,
Jackson State University,2010,5771650,10,3.1,
Jackson State University,2009,2195998,10,2.5,
Jackson State University,2008,14606572,6,3.333333333,
Jackson State University,2007,2333014,5,3,
Jackson State University,2006,10310786,7,3.571428571,
Jackson State University,2005,1219810,4,3.5,
Jackson State University,2004,4121576,4,3.25,
Jackson State University,2003,5174427,4,3.75,
Jackson State University,2002,759697,4,3.75,
Jackson State University,2001,4618776,2,5.5,
Jacksonville State University,2010,453602,2,2.5,
Jacksonville State University,2002,489709,4,2.75,
Jacksonville State University,2001,128887,2,4,
Jacobs Technology Inc.,2011,220182,2,2.5,
James Madison University,2012,1136426,6,2.333333333,
James Madison University,2011,1488487,3,4,
James Madison University,2010,1751044,10,2.6,
James Madison University,2009,2021048,11,2.727272727,
James Madison University,2008,3692904,11,3,
James Madison University,2007,1888778,8,4.125,
James Madison University,2006,2133695,8,2.625,
James Madison University,2004,1226950,5,4,
James Madison University,2003,1433103,7,3.571428571,
James Madison University,2002,884951,3,4,
James Madison University,2001,1592711,8,3.375,
Joan and Sanford I. Weill Medical College of Cornell University,2012,694284,3,3.333333333,
Joan and Sanford I. Weill Medical College of Cornell University,2011,850716,2,4,
Joan and Sanford I. Weill Medical College of Cornell University,2008,972107,2,3,
Joan and Sanford I. Weill Medical College of Cornell University,2006,346017,2,3.5,
Joan and Sanford I. Weill Medical College of Cornell University,2004,2108403,3,2.666666667,
Joan and Sanford I. Weill Medical College of Cornell University,2001,794781,3,3.666666667,
Johns Hopkins University,2012,22566174,64,3.125,
Johns Hopkins University,2011,22806264,65,2.923076923,
Johns Hopkins University,2010,29775800,65,2.984615385,
Johns Hopkins University,2009,44880668,82,3.353658537,
Johns Hopkins University,2008,23619701,56,3.446428571,
Johns Hopkins University,2007,26208786,72,3.541666667,
Johns Hopkins University,2006,26337480,68,3.544117647,
Johns Hopkins University,2005,32343363,51,3.941176471,
Johns Hopkins University,2004,27483940,53,3.490566038,
Johns Hopkins University,2003,21750365,63,3.206349206,
Johns Hopkins University,2002,20044326,56,3.089285714,
Johns Hopkins University,2001,32366813,54,3.685185185,
Johnson C. Smith University,2010,709190,2,2,
Johnson C. Smith University,2009,2207727,2,4,
Juniata College,2011,119489,2,3,
Juniata College,2006,307472,2,3.5,
Kalamazoo College,2003,243693,2,3,
Kalamazoo College,2002,117503,2,2,
Kalamazoo College,2001,675366,4,3,
KalScott Engineering Inc.,2004,199956,2,0.5,
Kansas City University of Medicine and Biosciences,2007,79524,2,3.5,
Kansas State University,2012,8839116,23,2.695652174,8.839116
Kansas State University,2011,8375445,29,2.931034483,8.375445
Kansas State University,2010,12892135,27,3.296296296,12.892135
Kansas State University,2009,12324482,26,3,12.324482
Kansas State University,2008,13026957,25,3.36,13.026957
Kansas State University,2007,4295195,17,3.117647059,4.295195
Kansas State University,2006,7401595,24,3.791666667,7.401595
Kansas State University,2005,10320776,35,3.314285714,10.320776
Kansas State University,2004,7929921,19,3.789473684,7.929921
Kansas State University,2003,7891970,22,3.136363636,7.89197
Kansas State University,2002,11996245,28,3.392857143,11.996245
Kansas State University,2001,7680499,29,3.24137931,7.680499
KCP Technologies,2009,4140333,2,3,
Kean University,2004,1447133,2,5,
Keck Graduate Institute,2009,700000,2,2.5,
Keck Graduate Institute,2005,6124008,5,3.6,
Keck Graduate Institute,2003,822740,2,3.5,
Keene State College,2005,116516,2,3.5,
Keene State College,2001,452251,4,3.5,
Kennesaw State University,2006,185733,2,3,
Kennesaw State University,2005,168390,2,3,
Kennesaw State University,2004,1160082,2,4.5,
Kennesaw State University,2003,331245,2,2.5,
Kennesaw State University,2002,453305,2,4,
Kennesaw State University,2001,149720,2,2,
Kennesaw State University Research and Service Foundation,2012,641783,4,3,
